Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.DeviceLog,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2024-03-17 08:37:33 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:28 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset after being powered on
2024-02-17 14:36:06 [Notice] Terminal:OLT(-),Result:Success,Type:Set,DialSN:,IsHaveAuthed:1
1970-01-01 00:00:28 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset by the software
2024-02-17 14:35:21 [Notice] AlarmID:104508,AlarmLevel:Error,Configuration file successfully restored
2024-02-17 14:35:20 [Notice] AlarmID:104507,AlarmLevel:Error,Configuration file is being restored
2024-02-17 14:31:46 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,WANIPConnection:1.1.1,Uptime:432
2024-02-17 14:31:46 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,SIPProfile:1.1,ProfileBody:...
2024-02-17 14:28:00 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,WANIPConnection:1.1.1,Uptime:432
2024-02-17 14:28:00 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,SIP:1.1,X_HW_SessionUpdateTimer:30
2024-02-17 14:24:28 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,WANIPConnection:1.1.1,Uptime:432
2024-02-17 14:24:28 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,Profile:1.1,ProfileBody:...
2024-02-17 14:24:28 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,SIPProfile:1.1,ProfileBody:...
1970-01-01 00:00:29 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset by the software
2024-02-17 14:22:53 [Notice] Terminal:OLT(-),Result:Success,Type:Set,DialSN:,IsHaveAuthed:1
1970-01-01 00:00:28 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset by the software
2024-02-17 14:22:07 [Notice] AlarmID:104508,AlarmLevel:Error,Configuration file successfully restored
2024-02-17 14:22:06 [Notice] AlarmID:104507,AlarmLevel:Error,Configuration file is being restored
1970-01-01 00:00:29 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset by the software
1970-01-01 00:00:31 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset by the software
1970-01-01 00:00:29 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset by the software
1970-01-01 00:00:28 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset by the software
2024-02-17 12:14:31 [Notice] Terminal:OLT(-),Result:Success,Type:Set,DialSN:,IsHaveAuthed:1
1970-01-01 00:00:29 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-
1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected
1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Error,Device reset. Cause: ONU reset by the software
2024-02-17 12:13:50 [Notice] AlarmID:104508,AlarmLevel:Error,Configuration file successfully restored
2024-02-17 12:13:50 [Notice] AlarmID:104508,AlarmLevel:Error,Configuration file successfully restored
2024-02-17 12:13:49 [Notice] AlarmID:104507,AlarmLevel:Error,Configuration file is being restored
2024-02-17 12:13:49 [Notice] Terminal:OLT(-),Result:Success,Cmd:restore to the factory settings
2024-02-17 12:13:37 [Notice] AlarmID:303502,AlarmLevel:Error,NMS successfully issued XML configurations
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,ManagementServer:,X_HW_DSCP:0
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,DSLite:1.3.1,AFTRName:,InTunnelMTU:1460,OutTunnelMTU:1500,WorkMode:Off
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,DSLite:1.1.1,AFTRName:,InTunnelMTU:1460,OutTunnelMTU:1500,WorkMode:Off
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,DSLite:1.2.1,AFTRName:,InTunnelMTU:1460,OutTunnelMTU:1500,WorkMode:Off
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,IPv6Prefix:1.1.1,ChildPrefixMask:...,ParentPrefix:
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,Layer3Forwarding:,X_HW_AutoDefaultGatewayEnable:0,X_HW_WanDefaultWanName:
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,Time:,DaylightSavingsUsed:0,Enable:0,LocalTimeZone:+00:00,LocalTimeZoneName:...,NTPServer1:clock.fmt.he.net,NTPServer2:clock.nyc.he.net,...
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,LANDevice:1
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Xml-Config,VoiceServiceConfig:-
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,EthSpec:4,X_HW_HGDetectEnable:1
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,EthSpec:3,X_HW_HGDetectEnable:1
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,EthSpec:2,X_HW_HGDetectEnable:1
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,EthSpec:1,X_HW_HGDetectEnable:1
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Delete,EthSpec:4
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Delete,EthSpec:3
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Delete,EthSpec:2
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Delete,EthSpec:1
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,SearList:1,DNSServer:,DomainName:,Interface:
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,IPv6Prefix:1.3.1.1,Origin:PrefixDelegation,Prefix:
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,IPv6Address:1.2.1.1,ChildPrefixBits:,IPAddress:,Origin:AutoConfigured
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,IPv6Prefix:1.1.1.1,Origin:PrefixDelegation,Prefix:
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,IPv6Address:1.1.1.1,ChildPrefixBits:,IPAddress:,Origin:AutoConfigured
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,IPv6Address:1.3.1.1,ChildPrefixBits:,IPAddress:,Origin:AutoConfigured
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Add,IPv6Prefix:1.2.1.1,Origin:PrefixDelegation,Prefix:
2024-02-17 12:13:37 [Notice] Terminal:OLT-XML(-),Result:Success,Type:Set,WANIPConnection:1.1.1,AddressingType:Static,ConnectionType:IP_Routed,DNSEnabled:1,DNSServers:10.10.10.1,DefaultGateway:10.6.136.1,Enable:1,...
",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.DeviceType,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"COMMON 4+2 AP",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"494.B",xsd:string,2024-03-17T06:42:51.607Z,,,,
InternetGatewayDevice.DeviceInfo.ManufactureInfo,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2102310QXF7SH2001137.C402",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Huawei Technologies Co., Ltd",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"00259E",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"HG8245H",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"HG8245H",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.607Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"48575443C5F1F58C",xsd:string,2024-03-17T06:42:51.610Z,,,,
