Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_Extend.V25ctANSEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_Extend.V32aaANSEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"true",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_Extend.V8bisCReANSEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"true",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.Codecs,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"G.711ALaw",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.EchoCancellationEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.Enable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.JbMode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"Static",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.LocalTransport,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.MediaMode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"SendReceive",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.PacketizationPeriod,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"20",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.PortName,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.RemoteIP,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.RemoteTransport,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_IPSpc.SilenceSuppression,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_Loop,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"Disable",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_RemoteCap,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_RemoteCap.CapType,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_RemoteCap.Enable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_RemoteCap.TimerAutoStop,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_Stats,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_Stats.PoorQualityList,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_Stats.ResetStatistics,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.1.X_HW_Status,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Normal",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.InterfaceID,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.PhoneConnectivity,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.TestSelector,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.TestState,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"None",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_InnerTest,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_InnerTest.FeedTestResult,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Normal",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_InnerTest.FeedValue,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:int,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_InnerTest.LoopCurrentTestResult,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Normal",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_InnerTest.LoopCurrentValue,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_InnerTest.OnOffHookTestResult,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Normal",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_InnerTest.RingTestResult,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Normal",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_InnerTest.RingValue,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.ABACVoltage,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.ABCapacitance,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.ABDCVoltage,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:int,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.ABInsulationResistance,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.AGACVoltage,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.AGCapacitance,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.AGDCVoltage,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:int,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.AGInsulationResistance,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.BGACVoltage,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.BGCapacitance,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.BGDCVoltage,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:int,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.BGInsulationResistance,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.Conclusion,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_LineTest.IsTestOnBusy,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.AutoTestResult,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.CallHoldTimer,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"30",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.CallType,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"Default",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.CalledFailReason,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.CalledNumber,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.CalledNumberToRemote,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.CalledWaitTimer,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"30",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.CallerFailReason,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.Conclusion,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Success",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.DTMFReceiveSequence,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.DTMFSendSequence,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.DialDTMFConfirmEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.DialDTMFConfirmNumber,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"#",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.DialDTMFConfirmResult,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.FailedResponseCode,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.IsAuto,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.Status,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Idle",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.Tests.X_HW_SimulateTest.TestType,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_DspTemplate,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_DspTemplate.EchoCancellationEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_DspTemplate.Enable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_DspTemplate.JbMode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"Static",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_DspTemplate.NLP,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"Closed",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_DspTemplate.SilenceSuppression,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_DspTemplate.WorkMode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"Voice",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.Bell103MarkANSEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.BellAnsEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"true",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.CalledOffhookShakeTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"200",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.CallerOffhookShakeTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"80",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.ClipForceSendFsk,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.ClipFormat,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"Mdmf-fsk",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.ClipFskMode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"BELL_202",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.ClipNormalPoleAfterFsk,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"1",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.ClipReversePole,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.ClipSendDateTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"true",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.ClipTasPattern,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"NO-TAS",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.ClipTransWhen,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"AfterRing",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.Current,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"25",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.CurrentOnPark,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DCTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"100",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DetectAnsbarBySingleToneEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DialMode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"First",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DialPulseBreakLowerLimit,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"30",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DialPulseBreakUpperLimit,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"90",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DialPulseInterval,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"240",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DialPulseMakeLowerLimit,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"30",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DialPulseMakeUpperLimit,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"90",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DialPulsePeriodLowerLimit,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"50",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DialPulsePeriodUpperLimit,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"200",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DspDtmfDetHighPassFilterValue,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DspHighPassFilterEnable,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.DspTemplateName,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.FskTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"800",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.HookFlashDownTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"90",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.HookFlashUpTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"300",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.Impedance,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"2",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.KcHighLevel,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"100",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.KcLowLevel,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"300",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.KcType,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"16Kc",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.KcVoltage,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.MWIRingFlag,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"false",xsd:boolean,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.Services.VoiceService.1.PhyInterface.2.X_HW_Extend.OnhookConfirmTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
